"","season","team","conference","offense.plays","offense.drives","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.powerSuccess","offense.stuffRate","offense.lineYards","offense.lineYardsTotal","offense.secondLevelYards","offense.secondLevelYardsTotal","offense.openFieldYards","offense.openFieldYardsTotal","offense.totalOpportunies","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","offense.havoc.total","offense.havoc.frontSeven","offense.havoc.db","offense.standardDowns.rate","offense.standardDowns.ppa","offense.standardDowns.successRate","offense.standardDowns.explosiveness","offense.passingDowns.rate","offense.passingDowns.ppa","offense.passingDowns.successRate","offense.passingDowns.explosiveness","offense.rushingPlays.rate","offense.rushingPlays.ppa","offense.rushingPlays.totalPPA","offense.rushingPlays.successRate","offense.rushingPlays.explosiveness","offense.passingPlays.rate","offense.passingPlays.ppa","offense.passingPlays.totalPPA","offense.passingPlays.successRate","offense.passingPlays.explosiveness","defense.plays","defense.drives","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.powerSuccess","defense.stuffRate","defense.lineYards","defense.lineYardsTotal","defense.secondLevelYards","defense.secondLevelYardsTotal","defense.openFieldYards","defense.openFieldYardsTotal","defense.totalOpportunies","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","defense.havoc.total","defense.havoc.frontSeven","defense.havoc.db","defense.standardDowns.rate","defense.standardDowns.ppa","defense.standardDowns.successRate","defense.standardDowns.explosiveness","defense.passingDowns.rate","defense.passingDowns.ppa","defense.passingDowns.totalPPA","defense.passingDowns.successRate","defense.passingDowns.explosiveness","defense.rushingPlays.rate","defense.rushingPlays.ppa","defense.rushingPlays.totalPPA","defense.rushingPlays.successRate","defense.rushingPlays.explosiveness","defense.passingPlays.rate","defense.passingPlays.ppa","defense.passingPlays.totalPPA","defense.passingPlays.successRate","defense.passingPlays.explosiveness"
"11",2011,"Notre Dame","FBS Independents",865,154,0.104625593022366,90.5011379643468,0.482080924855491,0.84875874025985,0.74,0.181122448979592,3.05510204081633,1198,1.30867346938776,513,1.00510204081633,394,84,0,71.2,1.367,0.0404624277456647,0.0208092485549133,0.0196531791907514,0.708670520231214,0.0331306095755799,0.525285481239804,0.692407450782284,0.291329479768786,0.278539977359192,0.376984126984127,1.37870732143644,0.453179190751445,0.0762114329737783,29.8748817257211,0.482142857142857,0.740287300183759,0.535260115606936,0.129727651918372,60.0639028382064,0.470842332613391,0.979154777767006,866,160,0.0345815034832228,29.9475820164709,0.397228637413395,0.90785771005015,0.631578947368421,0.186516853932584,2.94584269662921,1311,0.934831460674157,416,0.635955056179775,283,72,-0.194444444444444,69.8,-1.418,0.0473441108545035,0.0381062355658199,0.0092378752886836,0.675519630484988,-0.0612363180956253,0.432478632478632,0.690759338116785,0.324480369515012,0.234059886485451,37.8109766520286,0.323843416370107,1.5114388979528,0.513856812933025,-0.0123505009671561,-5.49597293038448,0.361797752808989,0.808608879520845,0.469976905311778,0.0929016625356968,37.8109766520286,0.415233415233415,1.09162393112171
"12",2012,"Notre Dame","FBS Independents",881,149,0.117818762095877,103.798329406468,0.473325766174801,0.852958415109114,0.796610169491525,0.190987124463519,3.07489270386266,1433,1.1137339055794,519,0.907725321888412,423,81,-0.0864197530864197,72.7,1.258,0.0295119182746879,0.0204313280363224,0.00908059023836549,0.701475595913734,0.0480530923408751,0.511326860841424,0.688049987576476,0.298524404086266,0.281754822584818,0.384030418250951,1.3689095349142,0.52894438138479,0.0399799680822597,18.630665126333,0.448497854077253,0.660703318763957,0.443813847900114,0.242018656231468,94.6292945865042,0.470588235294118,1.23401247709349,833,149,0.0290581459939946,24.2054356129975,0.405762304921969,0.910253007837554,0.555555555555556,0.192737430167598,2.89441340782123,1036,0.930167597765363,333,0.776536312849162,278,57,-0.12280701754386,72.3,-1.225,0.0588235294117647,0.0396158463385354,0.0192076830732293,0.687875150060024,-0.0703110705914754,0.445026178010471,0.684667158536755,0.312124849939976,0.248052611776588,37.2483379411286,0.319230769230769,1.60331796653278,0.429771908763505,-0.0359806770805052,-12.8810823948209,0.377094972067039,0.726501512257246,0.549819927971189,0.0813282487797568,37.2483379411286,0.406113537117904,1.12768619584772
"13",2013,"Notre Dame","FBS Independents",843,149,0.0738868049221847,62.2865765494017,0.430604982206406,0.993190243157758,0.6875,0.2,2.8747619047619,1207,1.00952380952381,424,0.797619047619048,335,90,-0.155555555555556,71,1.35,0.036773428232503,0.0213523131672598,0.0154211150652432,0.672597864768683,-0.038399020857217,0.45679012345679,0.780193131779766,0.327402135231317,0.304560947012477,0.376811594202899,1.52363497245487,0.498220640569395,-0.0185815517744021,-7.80425174524889,0.411904761904762,0.679899971433714,0.478054567022539,0.183995278692256,74.150097312979,0.421836228287841,1.45273313074448,897,155,0.065841480721132,59.0598082068554,0.448160535117057,0.818173740613836,0.661016949152542,0.177914110429448,3.17014314928425,1550,1.11247443762781,544,0.664621676891616,325,77,-0.272727272727273,70.7,-1.363,0.0512820512820513,0.0367892976588629,0.0144927536231884,0.700111482720178,-0.0239764174305483,0.493630573248408,0.636577676435634,0.299888517279822,0.275527874919107,37.4043293981857,0.342007434944238,1.43007352208386,0.545150501672241,0.0469712040708999,22.9689187906701,0.445807770961145,0.722531001777432,0.434782608695652,0.0959085369184249,37.4043293981857,0.425641025641026,1.04040677904387
"14",2014,"Notre Dame","FBS Independents",949,170,0.195972646525696,185.978041552885,0.454162276080084,1.2797867712917,0.745454545454545,0.178173719376392,2.99977728285078,1347,1.16481069042316,523,1.13140311804009,508,98,3.75510204081633,67.6,1.591,0.0337197049525817,0.0189673340358272,0.0147523709167545,0.67650158061117,0.101490984054827,0.489096573208723,1.03249949212004,0.32349841938883,0.393553191497349,0.381107491856678,1.94344664872676,0.473129610115911,0.129834803684225,58.2958268542169,0.443207126948775,0.938083537401127,0.512118018967334,0.256840371318962,124.824420461016,0.448559670781893,1.66078752406535,936,167,0.183852708238788,172.086134911506,0.446581196581197,1.19458110845222,0.682539682539683,0.217741935483871,2.84012096774194,1409,1.09072580645161,541,1.13508064516129,563,88,3.44318181818182,72.1,-1.215,0.0523504273504274,0.0352564102564103,0.0170940170940171,0.69017094017094,0.105919231662364,0.484520123839009,0.98226956458014,0.30982905982906,0.357456245715925,108.28867511305,0.362068965517241,1.82747171066138,0.52991452991453,0.129398896596987,64.1818527121058,0.435483870967742,0.982526314190604,0.457264957264957,0.253010923161332,108.28867511305,0.44392523364486,1.51312427569215
"15",2015,"Notre Dame","FBS Independents",873,157,0.301028879752684,262.798212024093,0.47651775486827,1.32483604569924,0.653846153846154,0.202643171806167,3.11541850220264,1414,1.42290748898678,646,2.20925110132159,1003,82,4.04878048780488,71.5,1.332,0.0320733104238259,0.0206185567010309,0.011454753722795,0.697594501718213,0.166305987251036,0.499178981937603,1.05454172990669,0.302405498281787,0.611810097682622,0.424242424242424,2.05849204570761,0.520045819014891,0.246860233140012,112.074545845565,0.47136563876652,1.1442195337475,0.462772050400916,0.389997245064026,157.558887005866,0.462871287128713,1.67435313163775,877,162,0.148247715334213,130.013246348105,0.413911060433295,1.2626717710731,0.704918032786885,0.210191082802548,2.77685774946921,1308,1.07006369426752,504,1.66454352441614,784,72,3.56944444444444,72.6,-1.234,0.0478905359179019,0.0376282782212087,0.0102622576966933,0.654503990877993,0.109973053885061,0.479094076655052,1.07673575360994,0.345496009122007,0.22075482976264,73.7085815364589,0.29042904290429,1.84372182564549,0.537058152793615,0.151814379543794,71.5045727651268,0.430997876857749,1.02211670848196,0.446978335233751,0.188032095756273,73.7085815364589,0.377551020408163,1.70747095168403
"16",2016,"Notre Dame","FBS Independents",834,150,0.206063067108569,171.856597968547,0.456834532374101,1.23931671926027,0.779661016949153,0.158415841584158,3.04653465346535,1231,1.09405940594059,442,1.39108910891089,562,72,4.09722222222222,70.3,1.378,0.157074340527578,0.0995203836930456,0.0575539568345324,0.673860911270983,0.118166234957021,0.49644128113879,1.03167256083019,0.326139088729017,0.387673433539342,0.375,1.80728456437784,0.484412470023981,0.210866480253778,85.1900580225263,0.47029702970297,0.97135255026219,0.496402877697842,0.250570989142006,103.73638950479,0.429951690821256,1.64185792267676,846,148,0.169373456264759,143.289943999986,0.436170212765957,1.15414583267325,0.692307692307692,0.1953125,2.6673828125,1366,0.9453125,484,1.12109375,574,78,2.85897435897436,70.8,-1.346,0.16548463356974,0.113475177304965,0.0520094562647754,0.731678486997636,0.110045079839498,0.478190630048465,0.956554727461795,0.268321513002364,0.331154359380339,99.4821455004833,0.3215859030837,1.95533716339369,0.605200945626478,0.0943483163205024,48.3063379560972,0.412109375,0.991116336800871,0.384160756501182,0.306098909232256,99.4821455004833,0.458461538461538,1.48491815200028
"17",2017,"Notre Dame","FBS Independents",921,170,0.256150974574763,235.915047583356,0.425624321389794,1.41820793374471,0.714285714285714,0.173584905660377,3.26528301886792,1731,1.35283018867925,717,2.74339622641509,1454,92,3.84782608695652,69.8,1.438,0.144408251900109,0.0912052117263844,0.0532030401737242,0.659066232356135,0.15688434387844,0.461285008237232,1.1365904364854,0.340933767643865,0.448045384869883,0.356687898089172,2.12225167689297,0.575461454940282,0.363038182650125,192.410236804566,0.467924528301887,1.32556410476568,0.409337676438654,0.114009283911206,42.9815000345248,0.344827586206897,1.74364847155209,955,170,0.0802698874212011,76.657742487247,0.385340314136126,1.20957317108524,0.607843137254902,0.20507399577167,2.79894291754757,1324,1.01902748414376,482,0.964059196617336,456,88,3.02272727272727,68.4,-1.53,0.169633507853403,0.109947643979058,0.0596858638743456,0.647120418848168,0.0288732535080528,0.433656957928803,0.998769980976597,0.352879581151832,0.17452246830644,80.18085023685,0.29673590504451,1.7745257205764,0.495287958115183,0.00583690169138185,2.76085450002361,0.359408033826638,0.950200907357107,0.490052356020942,0.171326603070192,80.18085023685,0.395299145299145,1.55732770159332
"18",2018,"Notre Dame","FBS Independents",964,161,0.217985784123939,210.138295895477,0.445020746887967,1.27886642125683,0.830508474576271,0.243614931237721,2.67838899803536,1363,1.17092337917485,596,1.41650294695481,721,91,3.86813186813187,70.8,1.35,0.150414937759336,0.0902489626556017,0.0601659751037344,0.66701244813278,0.136161292950203,0.486780715396579,1.04959466797633,0.33298755186722,0.38188967142834,0.361370716510903,1.89750485898782,0.528008298755187,0.114308745963686,58.1831516955162,0.406679764243615,1.09981469600576,0.454356846473029,0.350286590805354,153.425526772745,0.468036529680365,1.57288992789645,963,161,0.0791421712737382,76.2139109366099,0.388369678089304,1.1529733869581,0.684210526315789,0.181192660550459,3.00045871559633,1308,1.0802752293578,471,0.956422018348624,417,74,2.83783783783784,71.9,-1.257,0.180685358255452,0.103842159916926,0.0768431983385254,0.66147455867082,0.0309647239814531,0.43956043956044,0.943298121129292,0.33852544132918,0.173280312148541,32.5919794521227,0.288343558282209,1.77753800857583,0.452751817237799,0.10779276768755,46.9976467117719,0.401376146788991,0.992680282226898,0.532710280373832,0.0635321236883483,32.5919794521227,0.360623781676413,1.41010114897247
"19",2019,"Notre Dame","FBS Independents",900,164,0.245591561119217,221.032405007296,0.458888888888889,1.27348250842619,0.626666666666667,0.214442013129103,2.50262582056893,1144,1.18818380743982,543,1.61706783369803,739,91,4.07692307692308,69,1.484,0.195555555555556,0.124444444444444,0.0711111111111111,0.687777777777778,0.143403373806657,0.487883683360259,1.08601273335985,0.312222222222222,0.470696500430515,0.395017793594306,1.78353540995806,0.507777777777778,0.133739168667923,61.1188000812407,0.448577680525164,1.05576885720554,0.473333333333333,0.379609013763536,161.713439863266,0.448356807511737,1.62992405858688,897,166,0.0686861724834974,61.6114967176972,0.392419175027871,1.10542781148933,0.703125,0.214285714285714,2.79411764705882,1330,1.08403361344538,516,1.05042016806723,500,67,3.11940298507463,73.7,-1.153,0.260869565217391,0.1917502787068,0.0691192865105909,0.64659977703456,0.0083882591050824,0.455172413793103,0.927673322662224,0.35340022296544,0.17901043039984,23.9441558960226,0.277602523659306,1.63869127797063,0.530657748049052,0.0870846056384315,41.4522722838934,0.403361344537815,1.02123867493299,0.450390189520624,0.0592677126139174,23.9441558960226,0.353960396039604,1.37634752111419
"20",2020,"Notre Dame","FBS Independents",856,135,0.250051270421757,214.043887481024,0.453271028037383,1.25033990417063,0.854838709677419,0.168067226890756,3.11302521008403,1482,1.24579831932773,593,1.78151260504202,848,83,3.8433734939759,71,1.375,0.130841121495327,0.0969626168224299,0.0338785046728972,0.691588785046729,0.172293428717126,0.501689189189189,1.02373853918139,0.308411214953271,0.42441733969881,0.34469696969697,1.98990699649815,0.55607476635514,0.180715777065353,86.020709883108,0.451680672268908,1.01649054192337,0.44392523364486,0.336903098941885,128.023177597916,0.455263157894737,1.54096194395769,734,139,0.113510529083351,83.3167283471799,0.380108991825613,1.39128755326401,0.710526315789474,0.281733746130031,2.47894736842105,801,1.19504643962848,386,1.41795665634675,458,64,2.828125,74.9,-1.076,0.240463215258856,0.1641689373297,0.0762942779291553,0.623978201634877,-0.00791772365936245,0.427947598253275,1.08317091180575,0.376021798365123,0.315011035446261,69.6076274659337,0.300724637681159,2.11888829694856,0.440054495912807,0.0631950176052734,20.4119906865033,0.374613003095975,1.10931502557805,0.55858310626703,0.169774701136424,69.6076274659337,0.385365853658537,1.60722853965641
"21",2021,"Notre Dame","FBS Independents",898,165,0.261454809723785,234.786419131959,0.434298440979955,1.36609154699163,0.66,0.205314009661836,2.893961352657,1198,1.07487922705314,445,1.42270531400966,589,80,4.325,71.5,1.292,0.175946547884187,0.111358574610245,0.0645879732739421,0.683741648106904,0.182254166023401,0.478827361563518,1.13048130267499,0.316258351893096,0.432684370399968,0.338028169014085,2.08764792021132,0.461024498886414,0.135460368291745,56.0805924727826,0.410628019323671,0.997711311360473,0.538975501113586,0.369226914585076,178.705826659177,0.454545454545455,1.65074900179752,881,170,0.0861514633021244,75.8994391691716,0.391600454029512,1.21640415944736,0.745098039215686,0.19377990430622,2.96244019138756,1238,1.04545454545455,437,1.33971291866029,560,69,2.89855072463768,71.6,-1.289,0.188422247446084,0.132803632236095,0.0556186152099886,0.653802497162316,0.0352573391672254,0.461805555555556,0.948227192994767,0.346197502837684,0.182266268225737,43.7264588977463,0.259016393442623,2.11937976800927,0.474460839954597,0.0811963886003514,33.9400904349469,0.389952153110048,1.03321657379526,0.524404086265607,0.0946460149301867,43.7264588977463,0.393939393939394,1.38046776637754
"22",2022,"Notre Dame","FBS Independents",867,153,0.190224554846131,164.924689051595,0.474048442906574,1.14693253068532,0.716049382716049,0.137524557956778,3.29901768172888,1679,1.11198428290766,566,1.00196463654224,510,93,3.98924731182796,66.6,1.67,0.132641291810842,0.0830449826989619,0.04959630911188,0.735870818915802,0.12630158717903,0.525078369905956,0.967391382117839,0.264129181084198,0.368315617604253,0.331877729257642,1.93833101450249,0.587081891580161,0.146520547836772,74.5789588489171,0.485265225933202,0.861812393494441,0.410611303344867,0.276003658837325,98.2573025460879,0.460674157303371,1.57635127389353,822,156,0.134726371700338,110.745077537678,0.388077858880779,1.32582825332571,0.63265306122449,0.195431472081218,3.01040609137056,1186,1.19289340101523,470,1.28426395939086,506,63,3.92063492063492,74,-1.116,0.172749391727494,0.135036496350365,0.037712895377129,0.673965936739659,0.0447257412827796,0.442238267148014,1.03642797506878,0.326034063260341,0.320772450996335,63.5192279485746,0.276119402985075,2.2839778232304,0.479318734793187,0.159221077662426,62.733104598996,0.428934010152284,1.05701018977901,0.51338199513382,0.150519497508471,63.5192279485746,0.355450236966825,1.62869660492165
"23",2023,"Notre Dame","FBS Independents",310,55,0.463900230592762,143.809071483756,0.535483870967742,1.40081395898213,0.62962962962963,0.177142857142857,3.21485714285714,563,1.38857142857143,243,1.96571428571429,344,30,5.43333333333333,73.3,1.184,0.138709677419355,0.112903225806452,0.0258064516129032,0.748387096774194,0.377020762819092,0.560344827586207,1.23025876610383,0.251612903225806,0.722310955252908,0.461538461538462,2.01670771104266,0.564516129032258,0.245704120919071,42.9982211608374,0.531428571428571,1.03364378550017,0.435483870967742,0.746747039429027,100.810850322919,0.540740740740741,1.86857870054134,307,54,0.0276521872334013,8.48922148065421,0.322475570032573,1.28423352352207,0.785714285714286,0.166666666666667,2.61785714285714,440,0.660714285714286,111,0.636904761904762,107,21,2.71428571428571,69.7,-1.345,0.254071661237785,0.169381107491857,0.0846905537459283,0.661237785016287,-0.106100834970606,0.359605911330049,1.00982128463505,0.338762214983713,0.288727797881609,3.23157274442448,0.25,2.05469865578178,0.547231270358306,0.0310929180204242,5.22361022743126,0.339285714285714,0.92277167289861,0.449511400651466,0.0234171938001774,3.23157274442448,0.304347826086957,1.77478889222534
