"","season","team","conference","statName","statValue"
"349",2010,"Notre Dame","FBS Independents","rushingYards",1646
"350",2004,"Notre Dame","FBS Independents","puntReturnYards",358
"351",2015,"Notre Dame","FBS Independents","kickReturns",38
"352",2006,"Notre Dame","FBS Independents","passCompletions",290
"353",1956,"Notre Dame","FBS Independents","games",10
"354",2019,"Notre Dame","FBS Independents","rushingYards",2311
"355",2010,"Notre Dame","FBS Independents","interceptionTDs",1
"356",1941,"Notre Dame","FBS Independents","games",9
"357",2004,"Notre Dame","FBS Independents","fumblesRecovered",12
"358",2017,"Notre Dame","FBS Independents","penalties",75
"359",2007,"Notre Dame","FBS Independents","firstDowns",187
"360",2017,"Notre Dame","FBS Independents","puntReturnTDs",0
"361",2006,"Notre Dame","FBS Independents","thirdDowns",177
"362",2015,"Notre Dame","FBS Independents","interceptionTDs",1
"363",2021,"Notre Dame","FBS Independents","fumblesRecovered",12
"364",2012,"Notre Dame","FBS Independents","totalYards",5358
"365",2016,"Notre Dame","FBS Independents","interceptionYards",73
"366",2019,"Notre Dame","FBS Independents","thirdDownConversions",74
"367",2005,"Notre Dame","FBS Independents","games",12
"368",2009,"Notre Dame","FBS Independents","fourthDownConversions",9
"369",2023,"Notre Dame","FBS Independents","interceptionYards",33
"370",2015,"Notre Dame","FBS Independents","possessionTime",23106
"371",2019,"Notre Dame","FBS Independents","kickReturnTDs",0
"372",2012,"Notre Dame","FBS Independents","puntReturns",21
"373",2019,"Notre Dame","FBS Independents","kickReturnYards",403
"374",1945,"Notre Dame","FBS Independents","games",10
"375",2015,"Notre Dame","FBS Independents","fumblesRecovered",5
"376",2004,"Notre Dame","FBS Independents","puntReturnTDs",0
"377",2007,"Notre Dame","FBS Independents","puntReturns",35
"378",2009,"Notre Dame","FBS Independents","puntReturnTDs",1
"379",1965,"Notre Dame","FBS Independents","games",10
"380",2011,"Notre Dame","FBS Independents","totalYards",5369
"381",2008,"Notre Dame","FBS Independents","rushingAttempts",436
"382",2019,"Notre Dame","FBS Independents","turnovers",11
"383",2010,"Notre Dame","FBS Independents","turnovers",24
"384",2013,"Notre Dame","FBS Independents","kickReturnYards",998
"385",2009,"Notre Dame","FBS Independents","thirdDownConversions",64
"386",1938,"Notre Dame","FBS Independents","games",9
"387",2013,"Notre Dame","FBS Independents","turnovers",17
"388",2004,"Notre Dame","FBS Independents","rushingYards",1529
"389",1985,"Notre Dame","FBS Independents","games",11
"390",2016,"Notre Dame","FBS Independents","puntReturnTDs",0
"391",1934,"Notre Dame","FBS Independents","games",9
"392",2022,"Notre Dame","FBS Independents","thirdDowns",176
"393",2005,"Notre Dame","FBS Independents","fumblesRecovered",12
"394",2023,"Notre Dame","FBS Independents","puntReturnYards",47
"395",2021,"Notre Dame","FBS Independents","puntReturnYards",164
"396",2013,"Notre Dame","FBS Independents","penalties",73
"397",2011,"Notre Dame","FBS Independents","turnovers",29
"398",2013,"Notre Dame","FBS Independents","interceptionYards",93
"399",2014,"Notre Dame","FBS Independents","netPassingYards",3711
"400",2020,"Notre Dame","FBS Independents","possessionTime",24357
"401",2021,"Notre Dame","FBS Independents","puntReturnTDs",0
"402",2022,"Notre Dame","FBS Independents","rushingTDs",25
"403",1968,"Notre Dame","FBS Independents","games",10
"404",2019,"Notre Dame","FBS Independents","puntReturnYards",211
"405",2006,"Notre Dame","FBS Independents","firstDowns",279
"406",2013,"Notre Dame","FBS Independents","rushingYards",1963
"407",2013,"Notre Dame","FBS Independents","thirdDowns",176
"408",2018,"Notre Dame","FBS Independents","fumblesRecovered",9
"409",2010,"Notre Dame","FBS Independents","kickReturnTDs",0
"410",2022,"Notre Dame","FBS Independents","thirdDownConversions",83
"411",2011,"Notre Dame","FBS Independents","fourthDownConversions",6
"412",2008,"Notre Dame","FBS Independents","possessionTime",14841
"413",2011,"Notre Dame","FBS Independents","interceptionTDs",1
"414",2009,"Notre Dame","FBS Independents","interceptions",5
"415",2017,"Notre Dame","FBS Independents","sacks",24
"416",1927,"Notre Dame","FBS Independents","games",9
"417",2001,"Notre Dame","FBS Independents","games",11
"418",2010,"Notre Dame","FBS Independents","penalties",58
"419",2004,"Notre Dame","FBS Independents","thirdDowns",183
"420",2006,"Notre Dame","FBS Independents","puntReturns",33
"421",1950,"Notre Dame","FBS Independents","games",9
"422",2015,"Notre Dame","FBS Independents","passCompletions",241
"423",2004,"Notre Dame","FBS Independents","interceptionYards",201
"424",2017,"Notre Dame","FBS Independents","fourthDowns",18
"425",2014,"Notre Dame","FBS Independents","penalties",58
"426",2011,"Notre Dame","FBS Independents","firstDowns",308
"427",2020,"Notre Dame","FBS Independents","puntReturnYards",128
"428",2014,"Notre Dame","FBS Independents","games",13
"429",2007,"Notre Dame","FBS Independents","rushingAttempts",437
"430",2014,"Notre Dame","FBS Independents","kickReturnTDs",0
"431",2012,"Notre Dame","FBS Independents","fumblesLost",7
"432",2004,"Notre Dame","FBS Independents","penalties",0
"433",2007,"Notre Dame","FBS Independents","thirdDowns",193
"434",2016,"Notre Dame","FBS Independents","totalYards",5011
"435",2019,"Notre Dame","FBS Independents","kickReturns",29
"436",2015,"Notre Dame","FBS Independents","rushingTDs",29
"437",2020,"Notre Dame","FBS Independents","passCompletions",231
"438",2023,"Notre Dame","FBS Independents","kickReturns",7
"439",2023,"Notre Dame","FBS Independents","puntReturns",6
"440",2008,"Notre Dame","FBS Independents","passAttempts",447
"441",2010,"Notre Dame","FBS Independents","puntReturns",49
"442",2007,"Notre Dame","FBS Independents","penaltyYards",708
"443",2022,"Notre Dame","FBS Independents","sacks",37
"444",2015,"Notre Dame","FBS Independents","turnovers",20
"445",1978,"Notre Dame","FBS Independents","games",12
"446",2018,"Notre Dame","FBS Independents","games",13
"447",2019,"Notre Dame","FBS Independents","interceptionYards",107
"448",2021,"Notre Dame","FBS Independents","netPassingYards",3672
"449",2015,"Notre Dame","FBS Independents","passAttempts",385
"450",2020,"Notre Dame","FBS Independents","fumblesRecovered",10
"451",2016,"Notre Dame","FBS Independents","fourthDownConversions",13
"452",2012,"Notre Dame","FBS Independents","firstDowns",281
"453",2011,"Notre Dame","FBS Independents","puntReturns",46
"454",2011,"Notre Dame","FBS Independents","penaltyYards",758
"455",2022,"Notre Dame","FBS Independents","fourthDowns",16
"456",2016,"Notre Dame","FBS Independents","rushingTDs",18
"457",2008,"Notre Dame","FBS Independents","passesIntercepted",14
"458",2007,"Notre Dame","FBS Independents","passesIntercepted",11
"459",2011,"Notre Dame","FBS Independents","games",13
"460",2008,"Notre Dame","FBS Independents","firstDowns",249
"461",2021,"Notre Dame","FBS Independents","tacklesForLoss",84
"462",1924,"Notre Dame","FBS Independents","games",10
"463",2011,"Notre Dame","FBS Independents","puntReturnYards",48
"464",2017,"Notre Dame","FBS Independents","rushingAttempts",560
"465",1973,"Notre Dame","FBS Independents","games",11
"466",2020,"Notre Dame","FBS Independents","rushingYards",2537
"467",1918,"Notre Dame","FBS Independents","games",6
"468",1963,"Notre Dame","FBS Independents","games",9
"469",2009,"Notre Dame","FBS Independents","passAttempts",447
"470",2012,"Notre Dame","FBS Independents","turnovers",15
"471",2013,"Notre Dame","FBS Independents","interceptionTDs",3
"472",2006,"Notre Dame","FBS Independents","totalYards",5067
"473",2014,"Notre Dame","FBS Independents","turnovers",26
"474",1995,"Notre Dame","FBS Independents","games",12
"475",2015,"Notre Dame","FBS Independents","thirdDownConversions",68
"476",2009,"Notre Dame","FBS Independents","kickReturnYards",1085
"477",2010,"Notre Dame","FBS Independents","kickReturnYards",1038
"478",2021,"Notre Dame","FBS Independents","fourthDownConversions",9
"479",2018,"Notre Dame","FBS Independents","puntReturnTDs",0
"480",2011,"Notre Dame","FBS Independents","thirdDowns",174
"481",2020,"Notre Dame","FBS Independents","fourthDownConversions",11
"482",1926,"Notre Dame","FBS Independents","games",10
"483",2004,"Notre Dame","FBS Independents","penaltyYards",0
"484",2013,"Notre Dame","FBS Independents","fumblesLost",4
"485",2018,"Notre Dame","FBS Independents","kickReturnYards",257
"486",2017,"Notre Dame","FBS Independents","games",13
"487",2011,"Notre Dame","FBS Independents","penalties",82
"488",2017,"Notre Dame","FBS Independents","interceptionTDs",2
"489",2011,"Notre Dame","FBS Independents","rushingTDs",25
"490",2022,"Notre Dame","FBS Independents","passAttempts",338
"491",2020,"Notre Dame","FBS Independents","puntReturnTDs",2
"492",2005,"Notre Dame","FBS Independents","rushingYards",1765
"493",2012,"Notre Dame","FBS Independents","kickReturnYards",588
"494",2022,"Notre Dame","FBS Independents","turnovers",18
"495",2014,"Notre Dame","FBS Independents","passAttempts",463
"496",2018,"Notre Dame","FBS Independents","rushingYards",2376
"497",2018,"Notre Dame","FBS Independents","sacks",28
"498",2012,"Notre Dame","FBS Independents","games",13
"499",2023,"Notre Dame","FBS Independents","rushingYards",994
"500",2020,"Notre Dame","FBS Independents","kickReturnYards",492
"501",2012,"Notre Dame","FBS Independents","passAttempts",388
"502",2016,"Notre Dame","FBS Independents","puntReturnYards",191
"503",2014,"Notre Dame","FBS Independents","passCompletions",277
"504",2019,"Notre Dame","FBS Independents","rushingTDs",20
"505",2018,"Notre Dame","FBS Independents","thirdDowns",193
"506",2004,"Notre Dame","FBS Independents","puntReturns",36
"507",2010,"Notre Dame","FBS Independents","puntReturnTDs",1
"508",2017,"Notre Dame","FBS Independents","tacklesForLoss",72
"509",2006,"Notre Dame","FBS Independents","games",13
"510",2013,"Notre Dame","FBS Independents","fourthDowns",13
"511",2023,"Notre Dame","FBS Independents","turnovers",2
"512",2022,"Notre Dame","FBS Independents","rushingYards",2458
"513",2005,"Notre Dame","FBS Independents","passCompletions",294
"514",1998,"Notre Dame","FBS Independents","games",12
"515",2012,"Notre Dame","FBS Independents","rushingTDs",23
"516",2013,"Notre Dame","FBS Independents","kickReturnTDs",0
"517",2012,"Notre Dame","FBS Independents","fumblesRecovered",7
"518",2023,"Notre Dame","FBS Independents","thirdDowns",54
"519",2005,"Notre Dame","FBS Independents","possessionTime",14413
"520",2017,"Notre Dame","FBS Independents","fumblesLost",7
"521",2018,"Notre Dame","FBS Independents","rushingTDs",27
"522",1992,"Notre Dame","FBS Independents","games",12
"523",2016,"Notre Dame","FBS Independents","penalties",78
"524",2017,"Notre Dame","FBS Independents","interceptionYards",209
"525",1962,"Notre Dame","FBS Independents","games",10
"526",2022,"Notre Dame","FBS Independents","interceptionTDs",2
"527",2021,"Notre Dame","FBS Independents","rushingAttempts",451
"528",2011,"Notre Dame","FBS Independents","rushingYards",2085
"529",2004,"Notre Dame","FBS Independents","rushingAttempts",460
"530",2006,"Notre Dame","FBS Independents","interceptionTDs",1
"531",2009,"Notre Dame","FBS Independents","netPassingYards",4055
"532",1984,"Notre Dame","FBS Independents","games",12
"533",2020,"Notre Dame","FBS Independents","totalYards",5386
"534",2006,"Notre Dame","FBS Independents","interceptionYards",100
"535",2014,"Notre Dame","FBS Independents","interceptions",14
"536",2010,"Notre Dame","FBS Independents","passesIntercepted",18
"537",1974,"Notre Dame","FBS Independents","games",12
"538",2020,"Notre Dame","FBS Independents","thirdDownConversions",81
"539",2018,"Notre Dame","FBS Independents","fumblesLost",4
"540",1996,"Notre Dame","FBS Independents","games",11
"541",2022,"Notre Dame","FBS Independents","puntReturnTDs",1
"542",2016,"Notre Dame","FBS Independents","kickReturnYards",877
"543",2010,"Notre Dame","FBS Independents","thirdDowns",179
"544",2015,"Notre Dame","FBS Independents","fumblesLost",10
"545",2016,"Notre Dame","FBS Independents","fourthDowns",20
"546",2007,"Notre Dame","FBS Independents","interceptions",9
"547",2004,"Notre Dame","FBS Independents","firstDowns",217
"548",2012,"Notre Dame","FBS Independents","netPassingYards",2896
"549",2013,"Notre Dame","FBS Independents","rushingTDs",12
"550",2008,"Notre Dame","FBS Independents","rushingTDs",11
"551",2009,"Notre Dame","FBS Independents","puntReturns",40
"552",2017,"Notre Dame","FBS Independents","passAttempts",351
"553",2009,"Notre Dame","FBS Independents","rushingTDs",13
"554",2006,"Notre Dame","FBS Independents","puntReturnTDs",1
"555",1905,"Notre Dame","FBS Independents","games",9
"556",2019,"Notre Dame","FBS Independents","possessionTime",22220
"557",2008,"Notre Dame","FBS Independents","passingTDs",25
"558",2007,"Notre Dame","FBS Independents","totalYards",2907
"559",1983,"Notre Dame","FBS Independents","games",12
"560",2008,"Notre Dame","FBS Independents","fumblesRecovered",11
"561",2018,"Notre Dame","FBS Independents","puntReturnYards",220
"562",2018,"Notre Dame","FBS Independents","possessionTime",22638
"563",2006,"Notre Dame","FBS Independents","fumblesRecovered",10
"564",1980,"Notre Dame","FBS Independents","games",12
"565",2010,"Notre Dame","FBS Independents","fourthDowns",11
"566",2023,"Notre Dame","FBS Independents","firstDowns",114
"567",2022,"Notre Dame","FBS Independents","puntReturns",29
"568",1958,"Notre Dame","FBS Independents","games",10
"569",1994,"Notre Dame","FBS Independents","games",12
"570",2008,"Notre Dame","FBS Independents","puntReturnYards",232
"571",2023,"Notre Dame","FBS Independents","penaltyYards",250
"572",2021,"Notre Dame","FBS Independents","possessionTime",23316
"573",2019,"Notre Dame","FBS Independents","interceptions",6
"574",2022,"Notre Dame","FBS Independents","interceptions",11
"575",1997,"Notre Dame","FBS Independents","games",13
"576",2013,"Notre Dame","FBS Independents","puntReturnYards",106
"577",2010,"Notre Dame","FBS Independents","interceptions",16
"578",2011,"Notre Dame","FBS Independents","fumblesLost",12
"579",2012,"Notre Dame","FBS Independents","passCompletions",226
"580",2007,"Notre Dame","FBS Independents","fourthDowns",35
"581",2021,"Notre Dame","FBS Independents","turnovers",16
"582",2016,"Notre Dame","FBS Independents","fumblesLost",9
"583",2023,"Notre Dame","FBS Independents","interceptionTDs",1
"584",2008,"Notre Dame","FBS Independents","thirdDowns",181
"585",2016,"Notre Dame","FBS Independents","puntReturns",21
"586",2009,"Notre Dame","FBS Independents","interceptionTDs",0
"587",2006,"Notre Dame","FBS Independents","fourthDownConversions",19
"588",2007,"Notre Dame","FBS Independents","turnovers",30
"589",2022,"Notre Dame","FBS Independents","rushingAttempts",531
"590",2016,"Notre Dame","FBS Independents","games",12
"591",2005,"Notre Dame","FBS Independents","interceptions",8
"592",2015,"Notre Dame","FBS Independents","rushingAttempts",479
"593",2010,"Notre Dame","FBS Independents","passingTDs",28
"594",2020,"Notre Dame","FBS Independents","puntReturns",14
"595",2017,"Notre Dame","FBS Independents","passingTDs",20
"596",2009,"Notre Dame","FBS Independents","rushingYards",1539
"597",2019,"Notre Dame","FBS Independents","thirdDowns",185
"598",2014,"Notre Dame","FBS Independents","kickReturnYards",918
"599",2020,"Notre Dame","FBS Independents","firstDowns",290
"600",2004,"Notre Dame","FBS Independents","thirdDownConversions",67
"601",1931,"Notre Dame","FBS Independents","games",9
"602",2014,"Notre Dame","FBS Independents","possessionTime",23236
"603",2022,"Notre Dame","FBS Independents","passesIntercepted",10
"604",2014,"Notre Dame","FBS Independents","kickReturns",46
"605",1920,"Notre Dame","FBS Independents","games",9
"606",2018,"Notre Dame","FBS Independents","thirdDownConversions",83
"607",2008,"Notre Dame","FBS Independents","fourthDownConversions",11
"608",1982,"Notre Dame","FBS Independents","games",11
"609",2018,"Notre Dame","FBS Independents","passAttempts",418
"610",2017,"Notre Dame","FBS Independents","kickReturnYards",712
"611",2020,"Notre Dame","FBS Independents","passesIntercepted",7
"612",2021,"Notre Dame","FBS Independents","penalties",73
"613",1969,"Notre Dame","FBS Independents","games",11
"614",2015,"Notre Dame","FBS Independents","penalties",67
"615",2023,"Notre Dame","FBS Independents","fourthDownConversions",3
"616",1940,"Notre Dame","FBS Independents","games",9
"617",2017,"Notre Dame","FBS Independents","passCompletions",181
"618",2020,"Notre Dame","FBS Independents","penalties",53
"619",2019,"Notre Dame","FBS Independents","fumblesLost",5
"620",2015,"Notre Dame","FBS Independents","rushingYards",2699
"621",2021,"Notre Dame","FBS Independents","thirdDownConversions",77
"622",1932,"Notre Dame","FBS Independents","games",9
"623",2008,"Notre Dame","FBS Independents","penaltyYards",649
"624",2009,"Notre Dame","FBS Independents","thirdDowns",156
"625",2006,"Notre Dame","FBS Independents","passingTDs",37
"626",2007,"Notre Dame","FBS Independents","rushingYards",903
"627",2014,"Notre Dame","FBS Independents","puntReturns",27
"628",2021,"Notre Dame","FBS Independents","interceptionTDs",3
"629",2014,"Notre Dame","FBS Independents","rushingTDs",24
"630",2020,"Notre Dame","FBS Independents","turnovers",11
"631",2018,"Notre Dame","FBS Independents","turnovers",17
"632",2009,"Notre Dame","FBS Independents","fourthDowns",16
"633",2015,"Notre Dame","FBS Independents","netPassingYards",3364
"634",2011,"Notre Dame","FBS Independents","netPassingYards",3404
"635",2014,"Notre Dame","FBS Independents","interceptionTDs",0
"636",2005,"Notre Dame","FBS Independents","turnovers",14
"637",2009,"Notre Dame","FBS Independents","totalYards",5421
"638",2017,"Notre Dame","FBS Independents","kickReturnTDs",0
"639",2006,"Notre Dame","FBS Independents","rushingTDs",13
"640",1955,"Notre Dame","FBS Independents","games",10
"641",2006,"Notre Dame","FBS Independents","turnovers",15
"642",2023,"Notre Dame","FBS Independents","tacklesForLoss",19
"643",2014,"Notre Dame","FBS Independents","fumblesLost",12
"644",2016,"Notre Dame","FBS Independents","passAttempts",388
"645",2018,"Notre Dame","FBS Independents","netPassingYards",3347
"646",2015,"Notre Dame","FBS Independents","kickReturnYards",825
"647",2021,"Notre Dame","FBS Independents","fumblesLost",6
"648",2008,"Notre Dame","FBS Independents","netPassingYards",3380
"649",2019,"Notre Dame","FBS Independents","passingTDs",37
"650",2018,"Notre Dame","FBS Independents","interceptions",13
"651",2020,"Notre Dame","FBS Independents","rushingAttempts",506
"652",2011,"Notre Dame","FBS Independents","passCompletions",302
"653",2015,"Notre Dame","FBS Independents","kickReturnTDs",1
"654",2014,"Notre Dame","FBS Independents","penaltyYards",487
"655",2021,"Notre Dame","FBS Independents","passAttempts",450
"656",2021,"Notre Dame","FBS Independents","kickReturnTDs",1
"657",2005,"Notre Dame","FBS Independents","penalties",0
"658",2022,"Notre Dame","FBS Independents","fumblesLost",7
"659",2008,"Notre Dame","FBS Independents","interceptionTDs",1
"660",2008,"Notre Dame","FBS Independents","games",13
"661",2016,"Notre Dame","FBS Independents","fumblesRecovered",6
"662",1951,"Notre Dame","FBS Independents","games",10
"663",2015,"Notre Dame","FBS Independents","penaltyYards",586
"664",2021,"Notre Dame","FBS Independents","puntReturns",19
"665",2019,"Notre Dame","FBS Independents","firstDowns",272
"666",2006,"Notre Dame","FBS Independents","netPassingYards",3649
"667",2021,"Notre Dame","FBS Independents","games",13
"668",1904,"Notre Dame","FBS Independents","games",8
"669",1990,"Notre Dame","FBS Independents","games",12
"670",2009,"Notre Dame","FBS Independents","fumblesLost",9
"671",2018,"Notre Dame","FBS Independents","totalYards",5723
"672",2020,"Notre Dame","FBS Independents","rushingTDs",33
"673",1949,"Notre Dame","FBS Independents","games",10
"674",2004,"Notre Dame","FBS Independents","games",12
"675",1999,"Notre Dame","FBS Independents","games",12
"676",1943,"Notre Dame","FBS Independents","games",10
"677",2019,"Notre Dame","FBS Independents","games",13
"678",2009,"Notre Dame","FBS Independents","kickReturnTDs",0
"679",2013,"Notre Dame","FBS Independents","puntReturns",15
"680",2023,"Notre Dame","FBS Independents","interceptions",0
"681",2012,"Notre Dame","FBS Independents","rushingAttempts",506
"682",2013,"Notre Dame","FBS Independents","totalYards",5276
"683",2011,"Notre Dame","FBS Independents","passesIntercepted",8
"684",2017,"Notre Dame","FBS Independents","rushingYards",3501
"685",2008,"Notre Dame","FBS Independents","fourthDowns",30
"686",2005,"Notre Dame","FBS Independents","passesIntercepted",13
"687",2019,"Notre Dame","FBS Independents","totalYards",5589
"688",2008,"Notre Dame","FBS Independents","interceptionYards",228
"689",2023,"Notre Dame","FBS Independents","fourthDowns",5
"690",2006,"Notre Dame","FBS Independents","fumblesLost",8
"691",2004,"Notre Dame","FBS Independents","interceptionTDs",2
"692",1988,"Notre Dame","FBS Independents","games",12
"693",2007,"Notre Dame","FBS Independents","thirdDownConversions",60
"694",2016,"Notre Dame","FBS Independents","rushingAttempts",438
"695",2006,"Notre Dame","FBS Independents","passAttempts",471
"696",2006,"Notre Dame","FBS Independents","thirdDownConversions",70
"697",2021,"Notre Dame","FBS Independents","kickReturns",18
"698",2023,"Notre Dame","FBS Independents","kickReturnTDs",0
